complaint_text,category
Complaint raised because Encroachment on public space near Thavalakuppam near residential houses,Other
Complaint raised because Road damaged after pipeline repair work in White Town,Roads
Complaint raised because Uneven road causing traffic near Kuruchikuppam,Roads
"Please check, Stray dogs chasing people in White Town during peak hours",Other
Street infrastructure damaged after rain near Mudaliarpet during peak hours,Roads
Complaint raised because Traffic signal not working near Kalapet during peak hours,Other
Residents reported that Sewage water flowing on road near MG Road for the past few days,Sanitation
Residents reported that Mosquito breeding due to stagnant water in Ariyankuppam near residential houses,Sanitation
"Please check, Street name board damaged near Lawspet for the past few days",Other
Road barricade damaged near Puducherry Bus Stand for the past few days,Roads
Residents reported that Encroachment on public space near Mudaliarpet during peak hours,Other
Residents reported that Road barricade damaged near Ariyankuppam during peak hours,Roads
"Please check, Road damaged after pipeline repair near Puducherry Bus Stand during peak hours",Roads
Local people say that Pipeline burst near Ariyankuppam main road and it is causing inconvenience,Water
Muddy water coming from taps in Nellithope requiring urgent action,Water
Local people say that Transformer sparking near Kottakuppam for the past few days,Electrical
Residents reported that Sewage water flowing on road near Kottakuppam,Sanitation
Electrc pole damaged near Thavalakuppam,Electrical
Complaint raised because Garbage mixed with stagnant water near Lawspet and it is causing inconvenience,Sanitation
Residents in Indira Gandhi Square report irregular water supply for the past few days,Water
Complaint raised because Mosquito breeding due to stagnant water in Kuruchikuppam and it is causing inconvenience,Sanitation
Public park maintenance needed in Villianur requiring urgent action,Other
Residents in Villianur report irregular water supply requiring urgent action,Water
Complaint raised because Road cracked after heavy rain in Lawspet near residential houses,Roads
Residents reported that Muddy water coming from taps in Kottakuppam requiring urgent action,Water
Uneven road causing traffic near Puducherry Bus Stand,Roads
Residents reported that Waste pile near Kalapet market,Sanitation
Local people say that Illegal parking near Nellithope during peak hours,Other
"Please check, Transformer sparking because of water seepage near Mission Street during peak hours",Electrical
Residents reported that Abandoned vehicle blocking road near Beach Road during peak hours,Other
Local people say that Streetlight flickering near Kottakuppam,Electrical
"Please check, Bad smell from open drain in Mudaliarpet requiring urgent action",Sanitation
Residents reported that Low water pressure in houses near Puducherry Bus Stand and it is causing inconvenience,Water
Public toilet not cleaned near MG Road and it is causing inconvenience,Sanitation
Local people say that Something is leaking continuously near Kuruchikuppam market during peak hours,Water
"Please check, Road shoulder collapsed near Kottakuppam during peak hours",Roads
Something is leaking continuously near Ariyankuppam market requiring urgent action,Water
Local people say that Public toilet not cleaned near Reddiarpalayam near residential houses,Sanitation
Electrc pole damaged near Thavalakuppam,Electrical
Complaint raised because Road cracked after heavy rain in Thavalakuppam for the past few days,Roads
No watter supply near Oulgaret,Water
Residents reported that Loose gravel causing bikes to skid near Mission Street requiring urgent action,Roads
Electric pole leaning after road work near Kottakuppam and it is causing inconvenience,Electrical
Residents reported that Streetlight not working in MG Road,Electrical
Local people say that Encroachment on public space near Kottakuppam for the past few days,Other
Electric pole damaged near Lawspet and it is causing inconvenience,Electrical
Local people say that Public toilet not cleaned near White Town for the past few days,Sanitation
Electrc pole damaged near Indira Gandhi Square,Electrical
Local people say that Blocked sewage line near Villianur for the past few days,Sanitation
Garbage not collected in Mudaliarpet,Sanitation
Local people say that Electric pole damaged near Oulgaret and it is causing inconvenience,Electrical
Complaint raised because No drinking water supply in White Town for two days for the past few days,Water
"Please check, Road collapsed due to underground water leak near Villianur and it is causing inconvenience",Roads
"Please check, Tree fell on road after rain near Bahour and it is causing inconvenience",Other
Local people say that Dustbin overflowing near Mission Street and it is causing inconvenience,Sanitation
Local people say that Road dug up and not repaired in Oulgaret and it is causing inconvenience,Roads
Local people say that Stray dogs chasing people in Beach Road requiring urgent action,Other
"Please check, Waste pile near Bahour market",Sanitation
Residents reported that Water stagnation due to blocked drain near Kuruchikuppam during peak hours,Sanitation
Local people say that Road surface broken near Mudaliarpet market,Roads
Residents reported that Stray dogs chasing people in Nellithope requiring urgent action,Other
Local people say that Drainage overflow near Kottakuppam for the past few days,Sanitation
Complaint raised because Sewage water flowing on road near Beach Road requiring urgent action,Sanitation
Complaint raised because Dustbin overflowing near Indira Gandhi Square near residential houses,Sanitation
"Please check, Power outage in Ariyankuppam requiring urgent action",Electrical
Local people say that Streetlights off during night in Muthialpet during peak hours,Electrical
Residents reported that Electric pole leaning after road work near Oulgaret,Electrical
Complaint raised because Streetlight not working in Nellithope requiring urgent action,Electrical
Complaint raised because Streetlights off during night in Muthialpet for the past few days,Electrical
"Please check, Voltage fluctuation in Villianur and it is causing inconvenience",Electrical
Complaint raised because Drainage overflow near Mission Street and it is causing inconvenience,Sanitation
"Please check, Waste pile near Villianur market requiring urgent action",Sanitation
Complaint raised because Potholes filled with rainwater near Ariyankuppam for the past few days,Roads
Complaint raised because Electric pole leaning after road work near Indira Gandhi Square near residential houses,Electrical
"Please check, Short circuit reported near MG Road requiring urgent action",Electrical
Stretlight not working in Kalapet,Electrical
"Please check, Junction box open near MG Road requiring urgent action",Electrical
Complaint raised because Road damaged after pipeline repair work in Lawspet and it is causing inconvenience,Roads
Transformer sparking near Nellithope and it is causing inconvenience,Electrical
"Please check, Water supply stopped after repair work in Ariyankuppam near residential houses",Water
Local people say that Water pipe leakage near Reddiarpalayam school for the past few days,Water
Residents reported that Pedestrian path broken near Oulgaret and it is causing inconvenience,Roads
"Please check, Water meter chamber overflowing in Indira Gandhi Square requiring urgent action",Water
Local people say that Bad smell from open drain in Indira Gandhi Square and it is causing inconvenience,Sanitation
Residents reported that Uneven road causing traffic near White Town during peak hours,Roads
Complaint raised because Illegal parking near Ariyankuppam and it is causing inconvenience,Other
Local people say that Transformer sparking near Reddiarpalayam,Electrical
Local people say that Loose electric wire hanging near Muthialpet near residential houses,Electrical
Short circuit reported near Kalapet,Electrical
Playground equipment broken near MG Road during peak hours,Other
Complaint raised because Water supply stopped after repair work in Rainbow Nagar near residential houses,Water
Complaint raised because Electric pole leaning after road work near Beach Road,Electrical
Local people say that Street name board damaged near MG Road requiring urgent action,Other
Stray dog problm near Beach Road,Other
"Please check, Streetlight not working in Mudaliarpet for the past few days",Electrical
"Please check, Pedestrian path broken near Thavalakuppam near residential houses",Roads
Residents reported that Road dug up and not repaired in Indira Gandhi Square near residential houses,Roads
Residents reported that Potholes filled with rainwater near Kuruchikuppam requiring urgent action,Roads
Local people say that Bad smell from open drain in White Town,Sanitation
Complaint raised because Residents in Villianur report irregular water supply during peak hours,Water
"Please check, Drinking water line damaged near Kottakuppam market requiring urgent action",Water
Complaint raised because Uneven road causing traffic near Mudaliarpet and it is causing inconvenience,Roads
Water pipe leakage near White Town school,Water
Complaint raised because Road excavation exposed electrical cables near Ariyankuppam and it is causing inconvenience,Electrical
"Please check, Muddy water coming from taps in Kalapet during peak hours",Water
Complaint raised because Power cable exposed near Ariyankuppam for the past few days,Electrical
Local people say that Tree fell on road after rain near Mudaliarpet near residential houses,Other
"Please check, Water pipe leakage near MG Road school near residential houses",Water
Complaint raised because Water leaking from underground pipe near Indira Gandhi Square during peak hours,Water
Residents reported that Illegal parking near Bahour for the past few days,Other
Water supply stopped after repair work in Mission Street during peak hours,Water
Complaint raised because Public park maintenance needed in Nellithope near residential houses,Other
Complaint raised because Potholes filled with rainwater near Muthialpet for the past few days,Roads
Complaint raised because Power outage in Kottakuppam during peak hours,Electrical
Complaint raised because Junction box open near Ariyankuppam near residential houses,Electrical
Pipeline burst near Mission Street main road and it is causing inconvenience,Water
"Please check, Power outage in Lawspet",Electrical
Local people say that Traffic signal not working near Lawspet near residential houses,Other
"Please check, Streetlight not working in Kottakuppam during peak hours",Electrical
Residents reported that Water stagnation due to blocked drain near Muthialpet and it is causing inconvenience,Sanitation
Residents reported that No drinking water supply in Rainbow Nagar for two days requiring urgent action,Water
Public tap leaking continuously in Thavalakuppam requiring urgent action,Water
Complaint raised because Potholes filled with rainwater near Lawspet for the past few days,Roads
Residents reported that Water supply line damaged beside garbage point in Indira Gandhi Square during peak hours,Water
Road brokn near Puducherry Bus Stand,Roads
"Please check, Street name board damaged near Indira Gandhi Square for the past few days",Other
Pipeline burst near Villianur main road,Water
Local people say that Water stagnation due to blocked drain near Nellithope during peak hours,Sanitation
Local people say that Water stagnation due to blocked drain near Mudaliarpet and it is causing inconvenience,Sanitation
Complaint raised because Tree branches blocking path near White Town,Other
Residents reported that Large pothole near Bahour bus stop,Roads
Complaint raised because Road cracked after heavy rain in Kottakuppam near residential houses,Roads
Water pipe leakage causing road damage near Kalapet requiring urgent action,Water
Complaint raised because Garbage not collected in White Town for the past few days,Sanitation
Electrc pole damaged near White Town,Electrical
"Please check, Dustbin overflowing near Nellithope and it is causing inconvenience",Sanitation
Local people say that Voltage fluctuation in Oulgaret requiring urgent action,Electrical
"Please check, Drainage overflow near Ariyankuppam near residential houses",Sanitation
Residents in Indira Gandhi Square report irregular water supply,Water
Residents reported that Road damaged after pipeline repair work in Muthialpet,Roads
Local people say that Electric pole damaged near Kalapet and it is causing inconvenience,Electrical
Road cracked after heavy rain in Thavalakuppam near residential houses,Roads
Residents reported that Playground equipment broken near Puducherry Bus Stand for the past few days,Other
"Please check, Electric pole damaged near Ariyankuppam for the past few days",Electrical
Residents reported that Short circuit reported near Thavalakuppam requiring urgent action,Electrical
Residents reported that Garbage mixed with stagnant water near Kalapet during peak hours,Sanitation
Complaint raised because Tree branches blocking path near Villianur,Other
No watter supply near Villianur,Water
Water overflowing around electrical pole near Lawspet during peak hours,Water
Complaint raised because Potholes filled with rainwater near Rainbow Nagar,Roads
Local people say that Voltage fluctuation in Beach Road during peak hours,Electrical
Complaint raised because Transformer sparking because of water seepage near Kalapet and it is causing inconvenience,Electrical
Potholes formed after water department excavation near Indira Gandhi Square requiring urgent action,Roads
Traffic signal not working near Ariyankuppam and it is causing inconvenience,Other
Local people say that Drinking water line damaged near Beach Road market requiring urgent action,Water
Complaint raised because Streetlight pole bent after road accident near Thavalakuppam and it is causing inconvenience,Electrical
Complaint raised because Pipeline burst near Reddiarpalayam main road,Water
"Please check, Dustbin overflowing near Ariyankuppam during peak hours",Sanitation
"Please check, Power outage in Beach Road during peak hours",Electrical
Blocked sewage line near MG Road during peak hours,Sanitation
Water pipe leakage near Ariyankuppam school for the past few days,Water
Damaged public bench near Oulgaret for the past few days,Other
Local people say that Garbage not collected in Villianur,Sanitation
"Please check, Playground equipment broken near Thavalakuppam and it is causing inconvenience",Other
Water meter chamber overflowing in Rainbow Nagar,Water
"Please check, Water pipe leakage causing road damage near White Town requiring urgent action",Water
Local people say that Transformer sparking near Beach Road during peak hours,Electrical
Residents reported that Sewage water flowing on road near Reddiarpalayam for the past few days,Sanitation
Local people say that Water overflowing around electrical pole near Rainbow Nagar near residential houses,Water
Local people say that Playground equipment broken near Indira Gandhi Square near residential houses,Other
Complaint raised because Speed breaker damaged near White Town requiring urgent action,Roads
Tree branches blocking path near Rainbow Nagar and it is causing inconvenience,Other
Residents reported that Public utility issue near Mudaliarpet affecting residents during peak hours,Other
Low water pressure in houses near Puducherry Bus Stand and it is causing inconvenience,Water
"Please check, Streetlight pole bent after road accident near MG Road",Electrical
Noise complaint near Thavalakuppam and it is causing inconvenience,Other
Complaint raised because Street vendors blocking walkway near Villianur,Other
"Please check, Playground equipment broken near Ariyankuppam requiring urgent action",Other
Public tap leaking continuously in Kuruchikuppam,Water
Complaint raised because Noise complaint near White Town during peak hours,Other
Playground equipment broken near Thavalakuppam and it is causing inconvenience,Other
"Please check, Garbage mixed with stagnant water near Indira Gandhi Square near residential houses",Sanitation
Local people say that Road cracked after heavy rain in Kottakuppam near residential houses,Roads
Pedestrian path broken near Ariyankuppam near residential houses,Roads
Road brokn near Mission Street,Roads
"Please check, Streetlight pole bent after road accident near Kottakuppam for the past few days",Electrical
Local people say that Short circuit reported near Puducherry Bus Stand and it is causing inconvenience,Electrical
Local people say that Water tank overflow near Kalapet for the past few days,Water
Residents reported that Streetlight not working in Kuruchikuppam for the past few days,Electrical
Residents reported that Dustbin overflowing near Bahour requiring urgent action,Sanitation
"Please check, Road shoulder collapsed near Rainbow Nagar during peak hours",Roads
Watr leaking near White Town bus stand,Water
Speed breaker damaged near Muthialpet near residential houses,Roads
Local people say that Stray dogs chasing people in Ariyankuppam near residential houses,Other
"Please check, Abandoned vehicle blocking road near Kuruchikuppam during peak hours",Other
Water meter chamber overflowing in Kottakuppam and it is causing inconvenience,Water
Residents reported that Road dug up and not repaired in Reddiarpalayam for the past few days,Roads
Residents reported that Public park maintenance needed in Indira Gandhi Square requiring urgent action,Other
Water meter chamber overflowing in MG Road during peak hours,Water
"Please check, Drinking water line damaged near White Town market during peak hours",Water
Water leaking from underground pipe near Indira Gandhi Square for the past few days,Water
Noice complaint from Reddiarpalayam,Other
"Please check, Large pothole near Kalapet bus stop",Roads
Residents reported that Blocked sewage line near Mudaliarpet during peak hours,Sanitation
Sewage water flowing on road near Kottakuppam requiring urgent action,Sanitation
Complaint raised because Abandoned vehicle blocking road near Indira Gandhi Square and it is causing inconvenience,Other
Noice complaint from Mission Street,Other
Complaint raised because Pipeline burst near Rainbow Nagar main road,Water
Residents reported that Sewage water flowing on road near Villianur during peak hours,Sanitation
Transformer sparking because of water seepage near Ariyankuppam for the past few days,Electrical
"Please check, Short circuit reported near Muthialpet and it is causing inconvenience",Electrical
"Please check, Pedestrian path broken near Indira Gandhi Square near residential houses",Roads
Local people say that Road excavation exposed electrical cables near Lawspet for the past few days,Electrical
"Please check, Water supply stopped after repair work in White Town for the past few days",Water
Garbage near public tap causing water blockage in Thavalakuppam for the past few days,Sanitation
Local people say that Waste pile near Mission Street market and it is causing inconvenience,Sanitation
"Please check, Road cracked after heavy rain in Indira Gandhi Square",Roads
"Please check, Damaged public bench near Nellithope during peak hours",Other
Complaint raised because Garbage dumped near drainage water in Reddiarpalayam,Sanitation
Garbage mixed with stagnant water near Bahour requiring urgent action,Sanitation
"Please check, Encroachment on public space near Rainbow Nagar during peak hours",Other
Residents reported that Dustbin overflowing near Thavalakuppam,Sanitation
Local people say that Water meter chamber overflowing in Kalapet near residential houses,Water
Local people say that Garbage mixed with stagnant water near White Town requiring urgent action,Sanitation
Complaint raised because Drinking water line damaged near Rainbow Nagar market requiring urgent action,Water
"Please check, Encroachment on public space near Mission Street near residential houses",Other
"Please check, Road barricade damaged near White Town near residential houses",Roads
Pothol near Kalapet main road,Roads
Local people say that Large pothole near White Town bus stop during peak hours,Roads
Complaint raised because Dustbin overflowing near Lawspet and it is causing inconvenience,Sanitation
Local people say that Short circuit reported near Kuruchikuppam and it is causing inconvenience,Electrical
Residents reported that Dustbin overflowing near Puducherry Bus Stand near residential houses,Sanitation
Local people say that Traffic signal not working near Indira Gandhi Square near residential houses,Other
"Please check, Abandoned vehicle blocking road near Nellithope requiring urgent action",Other
Residents reported that Uneven road causing traffic near Muthialpet,Roads
Residents reported that Garbage mixed with stagnant water near Puducherry Bus Stand and it is causing inconvenience,Sanitation
Transformer sparking near Kuruchikuppam near residential houses,Electrical
Local people say that Short circuit reported near leaking water pipe in Kalapet requiring urgent action,Electrical
Local people say that Noise complaint near Mudaliarpet,Other
Local people say that Electric pole damaged near White Town for the past few days,Electrical
No watter supply near Kuruchikuppam,Water
Local people say that Power outage in Puducherry Bus Stand requiring urgent action,Electrical
Local people say that Stray dogs chasing people in Kalapet,Other
"Please check, Pedestrian path broken near Oulgaret and it is causing inconvenience",Roads
Power outage in Kuruchikuppam for the past few days,Electrical
Electrc pole damaged near Beach Road,Electrical
Local people say that Potholes formed after water department excavation near Ariyankuppam requiring urgent action,Roads
Complaint raised because Water tank overflow near Beach Road for the past few days,Water
"Please check, Road damaged after pipeline repair near Indira Gandhi Square",Roads
Local people say that Dustbin overflowing near Thavalakuppam requiring urgent action,Sanitation
Local people say that Water tank overflow near Rainbow Nagar for the past few days,Water
Local people say that Road cracked after heavy rain in Reddiarpalayam requiring urgent action,Roads
Garbge not collected near Lawspet,Sanitation
Local people say that Garbage mixed with stagnant water near Kottakuppam during peak hours,Sanitation
Road damaged after pipeline repair work in Kuruchikuppam during peak hours,Roads
Residents reported that Drainage overflow near White Town during peak hours,Sanitation
Residents reported that Abandoned vehicle blocking road near Ariyankuppam,Other
Water pipe leakage causing road damage near Kuruchikuppam and it is causing inconvenience,Water
Complaint raised because Garbage mixed with stagnant water near Puducherry Bus Stand,Sanitation
Complaint raised because Garbage dumped near drainage water in Ariyankuppam requiring urgent action,Sanitation
Complaint raised because Garbage not collected in Bahour for the past few days,Sanitation
Power cable exposed near Beach Road during peak hours,Electrical
Residents reported that Mosquito breeding due to stagnant water in Rainbow Nagar for the past few days,Sanitation
Road cracked after heavy rain in Villianur requiring urgent action,Roads
Road damaged after pipeline repair work in Rainbow Nagar,Roads
No watter supply near White Town,Water
Complaint raised because Blocked sewage line near Ariyankuppam near residential houses,Sanitation
Residents reported that Tree fell on road after rain near Lawspet near residential houses,Other
Complaint raised because Voltage fluctuation in Oulgaret for the past few days,Electrical
"Please check, Abandoned vehicle blocking road near White Town requiring urgent action",Other
Low water pressure in houses near Kuruchikuppam,Water
Local people say that Road shoulder collapsed near Lawspet near residential houses,Roads
"Please check, Low water pressure in houses near Villianur and it is causing inconvenience",Water
Complaint raised because Water stagnation due to blocked drain near Puducherry Bus Stand for the past few days,Sanitation
Residents reported that Waste pile near Bahour market and it is causing inconvenience,Sanitation
Complaint raised because Illegal parking near Oulgaret near residential houses,Other
Residents reported that Damaged public bench near Lawspet and it is causing inconvenience,Other
Complaint raised because Speed breaker damaged near Thavalakuppam requiring urgent action,Roads
Local people say that Dustbin overflowing near Villianur requiring urgent action,Sanitation
Residents reported that Road collapsed due to underground water leak near Kalapet,Roads
Complaint raised because Low water pressure in houses near Ariyankuppam,Water
Complaint raised because Traffic signal not working near Bahour for the past few days,Other
Local people say that Road surface broken near Puducherry Bus Stand market and it is causing inconvenience,Roads
Complaint raised because Waste pile near MG Road market and it is causing inconvenience,Sanitation
Residents reported that Garbage dumped near drainage water in MG Road during peak hours,Sanitation
"Please check, Loose gravel causing bikes to skid near Puducherry Bus Stand for the past few days",Roads
"Please check, Illegal parking near Kalapet",Other
Complaint raised because Water pipe leakage causing road damage near Indira Gandhi Square during peak hours,Water
"Please check, Blocked sewage line near Lawspet during peak hours",Sanitation
"Please check, Garbage mixed with stagnant water near Bahour",Sanitation
"Please check, Water pipe leakage causing road damage near Beach Road for the past few days",Water
Residents reported that Water tank overflow near Mudaliarpet near residential houses,Water
Residents reported that Streetlight flickering near Nellithope near residential houses,Electrical
Pedestrian path broken near Lawspet near residential houses,Roads
Complaint raised because Streetlight flickering near Kalapet during peak hours,Electrical
Local people say that Potholes filled with rainwater near Muthialpet during peak hours,Roads
Stray dogs chasing people in Mission Street requiring urgent action,Other
Complaint raised because Waste pile near Beach Road market and it is causing inconvenience,Sanitation
Complaint raised because Water pipe leakage near Thavalakuppam school near residential houses,Water
Local people say that Water meter chamber overflowing in Reddiarpalayam,Water
"Please check, Road surface broken near Beach Road market and it is causing inconvenience",Roads
Local people say that Road barricade damaged near Villianur,Roads
Complaint raised because Road dug up and not repaired in Bahour requiring urgent action,Roads
"Please check, Noise complaint near Kalapet and it is causing inconvenience",Other
Road brokn near Puducherry Bus Stand,Roads
Complaint raised because Power outage in Ariyankuppam requiring urgent action,Electrical
Local people say that Road shoulder collapsed near Kalapet near residential houses,Roads
"Please check, Muddy water coming from taps in Nellithope during peak hours",Water
Stray dog problm near Indira Gandhi Square,Other
Residents reported that Stray dogs chasing people in Indira Gandhi Square,Other
Water pipe leakage causing road damage near Villianur requiring urgent action,Water
Water pipe leakage causing road damage near Mudaliarpet for the past few days,Water
Local people say that Power outage in Reddiarpalayam near residential houses,Electrical
Local people say that Loose gravel causing bikes to skid near Rainbow Nagar during peak hours,Roads
Residents reported that Illegal parking near Beach Road,Other
Pedestrian path broken near Bahour for the past few days,Roads
Residents reported that Electric pole damaged during road repair near Kalapet requiring urgent action,Electrical
Complaint raised because Tree fell on road after rain near Thavalakuppam during peak hours,Other
Blocked sewage line near Lawspet requiring urgent action,Sanitation
"Please check, Water stagnation due to blocked drain near Puducherry Bus Stand requiring urgent action",Sanitation
Local people say that Potholes filled with rainwater near Kalapet,Roads
Complaint raised because Loose gravel causing bikes to skid near Puducherry Bus Stand near residential houses,Roads
Garbge not collected near Thavalakuppam,Sanitation
Residents reported that Public utility issue near Puducherry Bus Stand affecting residents,Other
Power outage in MG Road near residential houses,Electrical
Local people say that Public park maintenance needed in Mudaliarpet and it is causing inconvenience,Other
Residents reported that Road damaged after pipeline repair near Bahour and it is causing inconvenience,Roads
Local people say that Mosquito breeding due to stagnant water in Oulgaret and it is causing inconvenience,Sanitation
Residents reported that Abandoned vehicle blocking road near Thavalakuppam requiring urgent action,Other
Potholes formed after water department excavation near Mission Street,Roads
Residents reported that Loose electric wire hanging near Muthialpet requiring urgent action,Electrical
Local people say that Noise complaint near Oulgaret,Other
Loose gravel causing bikes to skid near Mission Street requiring urgent action,Roads
Road brokn near White Town,Roads
Local people say that Voltage fluctuation in Kottakuppam,Electrical
Residents reported that Potholes filled with rainwater near Rainbow Nagar for the past few days,Roads
Residents reported that Water pipe leakage causing road damage near Beach Road,Water
Local people say that Pipeline burst near Kottakuppam main road near residential houses,Water
Road collapsed due to underground water leak near White Town during peak hours,Roads
Complaint raised because Traffic signal not working near Puducherry Bus Stand for the past few days,Other
"Please check, Drain water mixed with rainwater flowing near Lawspet near residential houses",Sanitation
"Please check, Mosquito breeding due to stagnant water in Villianur requiring urgent action",Sanitation
Electric pole leaning after road work near Mudaliarpet during peak hours,Electrical
Residents reported that Blocked sewage line near Reddiarpalayam and it is causing inconvenience,Sanitation
Streetlight flickering near Thavalakuppam during peak hours,Electrical
Residents reported that Loose electric wire hanging near Mission Street,Electrical
"Please check, No drinking water supply in Kuruchikuppam for two days and it is causing inconvenience",Water
Abandoned vehicle blocking road near Indira Gandhi Square near residential houses,Other
Residents reported that Road barricade damaged near Nellithope near residential houses,Roads
